area_id,area_name,area_block
1,宇奈根,23区東部
2,羽根木,23区東部
3,奥沢,23区東部
4,岡本,23区東部
5,下馬,23区東部
6,鎌田,23区東部
7,喜多見,23区東部
8,砧,23区西部
9,砧公園,23区西部
10,宮坂,23区西部
11,給田,23区西部
12,玉川,23区西部
13,玉川台,23区西部
14,玉川田園調布,23区西部
15,玉堤,23区西部
16,駒沢,23区西部
17,駒沢公園,23区都心部
18,経堂,23区都心部
19,弦巻,23区都心部
20,豪徳寺,23区都心部
21,桜,23区都心部
22,桜丘,23区都心部
23,桜上水,23区都心部
24,桜新町,多摩北部
25,三軒茶屋,多摩北部
26,三宿,多摩北部
27,上北沢,多摩北部
28,上野毛,多摩北部
29,上用賀,多摩北部
30,新町,多摩北部
31,深沢,多摩北部
32,世田谷,多摩北部
33,瀬田,多摩北部
34,成城,多摩南部
35,赤堤,多摩南部
36,千歳台,多摩南部
37,船橋,多摩南部
38,祖師谷,多摩南部
39,太子堂,多摩南部
40,代沢,多摩南部
41,代田,多摩南部
42,大原,多摩南部
43,大蔵,多摩南部
44,池尻,多摩西部
45,中町,多摩西部
46,東玉川,多摩西部
47,等々力,多摩西部
48,南烏山,多摩西部
49,梅丘,多摩西部
50,粕谷,多摩西部
51,八幡山,多摩西部
52,尾山台,多摩西部
53,北烏山,島しょ部
54,北沢,島しょ部
55,野沢,島しょ部
56,野毛,島しょ部
57,用賀,島しょ部
58,若林,島しょ部
59,松原,島しょ部
60,上祖師谷,島しょ部
61,上馬,多摩西部
