area,name,lat,long,status,note,location
池尻,1-1,35.649113,139.678948,0,○,池尻三丁目公園南側
池尻,1-2,35.652274,139.681204,0,○,三菱電機(株)世田谷住宅北側
池尻,1-3,35.651232,139.680223,0,○,三菱電機(株)世田谷住宅西側
池尻,1-4,35.652657,139.678935,0,○,池尻見晴し広場西側
池尻,1-5,35.650154,139.678567,0,○,池尻三丁目公園北側
池尻,1-6,35.650843,139.682552,1,○,池尻クラブ南側
池尻,1-7,35.653506,139.680384,1,○,筑波大学附属駒場中・高等学校西側
池尻,1-8,35.652009,139.682773,1,○,三菱UFJ銀行池尻ビル北側
池尻,2-1,35.641631,139.683943,1,○,旧都立青鳥特別支援学校南側
池尻,2-2,35.643901,139.682623,1,○,世田谷公園東側（自衛隊中央病院前）
池尻,2-3,35.64241,139.683331,1,○,世田谷公園東側（旧東京都立青鳥特別支援学校前）
池尻,2-4,35.645835,139.678892,1,○,池尻小学校西側
池尻,2-5,35.646439,139.683414,1,○,都営池尻二丁目アパート８号棟南側
池尻,2-6,35.6452,139.679926,1,○,世田谷公園駐車場北側
池尻,2-7,35.645611,139.680672,1,○,池尻小学校南側
池尻,2-8,35.645912,139.681541,1,○,池尻２丁目体育館東側
三宿,3-1,35.65207,139.674289,1,○,多聞小学校南側
三宿,3-2,35.647759,139.676954,1,○,三宿小学校東側
三宿,3-3,35.651692,139.673516,1,○,三宿の森緑地北側
三宿,3-4,35.6506664,139.6742797,1,○,烏山川緑道
三宿,3-5,35.652819,139.674406,1,○,多聞小学校東側
三宿,3-6,35.651272,139.672963,1,○,三宿の森緑地西側
三宿,3-7,35.64817,139.676036,1,○,三宿小学校西側
三宿,3-8,35.6508438,139.6770291,1,○,烏山川緑道（三宿橋西）
太子堂,4-1,35.646543,139.667379,1,○,太子堂小学校東側
太子堂,4-2,35.65097,139.668648,1,○,太子堂中学校北側
太子堂,4-3,35.649148,139.665971,1,○,太子堂保育園北側
太子堂,4-4,35.649343,139.671896,1,○,したのやばし公園東側
太子堂,4-5,35.647252,139.665442,1,○,太子堂八幡広場南側
太子堂,4-6,35.650645,139.668405,1,○,太子堂中学校西側
太子堂,4-7,35.645971,139.667277,1,○,太子堂小学校南側
太子堂,4-8,35.650963,139.669321,1,○,太子堂中学校東側
太子堂,5-1,35.646571,139.674261,1,○,太子堂二丁目郵政宿舎東側
太子堂,5-2,35.643706,139.666191,1,○,第二たちばな荘西側
太子堂,5-3,35.644987,139.671123,1,○,三軒茶屋ふれあい広場東側
太子堂,5-4,35.645388,139.667829,1,○,目青不動教学院北側
太子堂,5-5,35.647404,139.671402,1,○,烏山川緑道（一善橋脇）
太子堂,5-6,35.645216,139.671931,1,○,太子堂やまもも公園東側
太子堂,5-7,35.6459215,139.6740403,1,○,太子堂サクラ通り広場北側
太子堂,5-8,35.6481035,139.6720572,1,○,烏山川緑道（山中橋北）
太子堂,6-1,35.643294,139.673022,1,○,財務省太子堂公務員宿舎西側
三軒茶屋,6-2,35.639795,139.673264,1,○,中里小学校西側
三軒茶屋,6-3,35.640423,139.669755,1,○,三軒茶屋保育園南側
太子堂,6-4,35.645363,139.678813,1,○,太子堂調理場東側
三軒茶屋,6-5,35.6392471,139.6738446,1,○,中里小学校南側
三軒茶屋,6-6,35.640151,139.67187,1,○,正蓮寺南側
太子堂,6-7,35.642328,139.674069,1,○,三軒茶屋住宅北西側
太子堂,6-8,35.64378,139.67355,1,○,財務省太子堂公務員宿舎北側
三軒茶屋,7-1,35.641401,139.66637,1,○,世田谷丸山公園北側
三軒茶屋,7-2,35.640909,139.662896,1,○,蛇崩川緑道（三軒茶屋小学校北）
三軒茶屋,7-3,35.6420924,139.6671853,1,○,防衛省共済組合三軒茶屋独身寮
三軒茶屋,7-4,35.642245,139.663966,1,○,三軒茶屋公園北側
三軒茶屋,7-5,35.640514,139.662984,1,○,三軒茶屋小学校北側
三軒茶屋,7-6,35.6401535,139.6615732,1,○,蛇崩川緑道（環七通り沿い）
三軒茶屋,7-7,35.6407659,139.667468,1,○,蛇崩川緑道（世田谷警察北）
三軒茶屋,7-8,35.640611,139.663635,1,○,三軒茶屋小学校東側
若林,8-1,35.646321,139.664353,1,○,烏山川緑道
若林,8-2,35.648308,139.664256,1,○,トヨタ自動車(株)若林社宅東側
若林,8-3,35.646833,139.66339,1,○,若林ふれあいひろば公園東側
若林,8-4,35.646245,139.66319,1,○,東京電力(株)東世田谷変電所北側
若林,8-5,35.649183,139.664364,1,○,東京電力(株)NO.55鉄塔西側
若林,8-6,35.643893,139.661814,1,○,世田谷若葉幼稚園南側
若林,8-7,35.649299,139.66491,1,○,東京電力(株)NO.55鉄塔北側
若林,8-8,35.6459684,139.6650612,1,○,烏山川緑道
若林,9-1,35.6467771,139.6585304,1,○,烏山川緑道（谷中橋東側）
若林,9-2,35.64517,139.660556,1,○,若林天満宮東側
若林,9-3,35.6428043,139.6583612,1,○,緑の小道
若林,9-4,35.650617,139.659371,1,○,教育総合センター東側
若林,9-5,35.642377,139.65815,1,○,UR都市機構世田谷通りシティハイツ若林北側
若林,9-6,35.649128,139.656523,1,○,若林小学校西側
若林,9-7,35.642242,139.658719,1,○,UR都市機構世田谷通りシティハイツ若林東側
若林,9-8,35.6486043,139.657059,1,○,若林児童館南側
梅丘,10-1,35.6508824,139.6548653,1,○,世田谷中学校北側
代田,10-2,35.654874,139.658649,1,○,旧代田保育園南側
代田,10-3,35.654715,139.657268,1,○,すみれ公園北側
梅丘,10-4,35.6513866,139.6547291,0,○,山崎小学校西側
梅丘,10-5,35.649912,139.657693,1,○,道路予定地南側
梅丘,10-6,35.6504933,139.6558046,1,○,世田谷中学校東側
梅丘,10-7,35.650056,139.654758,1,○,世田谷中学校南側
若林,11-1,35.648571,139.655758,1,○,若林こども公園南側
若林,11-2,35.647941,139.655562,1,○,若林公園北西側
世田谷,11-3,35.6470125,139.6525741,1,○,世田谷区役所西棟北側
世田谷,11-4,35.645862,139.651785,1,○,世田谷区役所第二庁舎南側
世田谷,11-5,35.645988,139.653071,1,○,世田谷区役所東棟北側工事フェンス
若林,11-6,35.647601,139.6548,1,○,若林公園北側
世田谷,11-7,35.64323,139.654888,1,○,世田谷四丁目公園西側
世田谷,11-8,35.642989,139.650419,1,○,世田谷駅南自転車等駐車場東側
世田谷,11-9,35.646504,139.651233,1,○,世田谷４－２２事務所西側
弦巻,12-1,35.6390248,139.6532213,1,○,弦巻小学校南側
世田谷,12-2,35.641246,139.650878,1,○,駐車場南側
弦巻,12-3,35.63916,139.65239,1,○,弦巻小学校西側
弦巻,12-4,35.6393633,139.6533825,1,○,弦巻小学校東側
弦巻,12-5,35.6397902,139.6527631,0,○,弦巻小学校北側
世田谷,12-6,35.640741,139.653777,0,○,(株)松栄運輸世田谷車庫脇フェンス
弦巻,13-1,35.636141,139.65271,0,○,事務センター南側
弦巻,13-2,35.637163,139.650019,0,○,弦巻中学校東側
弦巻,13-3,35.636335,139.649215,0,○,弦巻中学校南側
弦巻,13-4,35.635485,139.651629,0,○,東弦巻保育園南側
弦巻,13-5,35.637059,139.648544,0,○,弦巻中学校西側
弦巻,13-6,35.637752,139.647498,0,○,世田谷清掃事務所弦巻分室北側
弦巻,13-7,35.633812,139.653461,0,○,弦巻二丁目広場南側
弦巻,13-8,35.636591,139.651882,0,○,弦巻区民センター遊び場南側
弦巻,14-1,35.638958,139.644935,0,○,松丘小学校北側
弦巻,14-2,35.638919,139.643514,0,○,松丘小学校西側
弦巻,14-3,35.638291,139.642146,0,○,区営弦巻四丁目アパ－ト１号棟北側
弦巻,14-4,35.635331,139.645504,0,○,弦巻三丁目公園北側
弦巻,14-5,35.636656,139.645021,0,○,弦巻保育園東側
弦巻,14-6,35.636888,139.642874,0,○,弦巻４－２１北側
弦巻,14-7,35.638016,139.644882,0,○,教育会館東側
弦巻,14-8,35.637283,139.645536,0,○,弦巻どんぐり山公園北側
弦巻,15-1,35.63727,139.637393,0,○,日本中央競馬会弦巻公園南側
弦巻,15-2,35.638457,139.637381,0,○,日本中央競馬会本部舎宅駐車場北側
弦巻,15-3,35.6366014,139.6364058,0,○,馬事公苑関係者駐車場西側
弦巻,15-4,35.638072,139.640137,0,○,松丘公園南側
弦巻,15-5,35.63787,139.639013,0,○,松丘幼稚園南側
弦巻,15-6,35.637089,139.6407566,0,○,世田谷いちい保育園東側
弦巻,15-7,35.6358224,139.6380132,0,○,弦巻五丁目放置自転車等保管所北側
弦巻,15-8,35.638203,139.64005,0,○,松丘公園北側
世田谷,16-1,35.643161,139.644919,0,○,桜小学校西側
世田谷,16-2,35.6430694,139.6431319,0,○,上町児童館東側
世田谷,16-3,35.6404737,139.6404449,0,○,世田谷地区会館西側
桜,16-4,35.640687,139.634968,0,○,東京工業大学世田谷住宅１号棟東側
桜,16-5,35.64268,139.635223,0,○,東京農業大学稲花小学校北側
世田谷,16-6,35.640015,139.646507,0,○,浄光寺南側
世田谷,16-7,35.6446427,139.6476579,0,○,東京医療保健大学本館北側
世田谷,16-8,35.6435558,139.6484799,0,○,東京医療保健大学別館東側
桜,17-1,35.646199,139.642789,0,○,桜木中学校東側
桜,17-2,35.644822,139.64311,0,○,桜木ふれあい緑地東側
桜,17-3,35.6428362,139.6355944,0,○,区立桜保育園東側
桜,17-4,35.6425203,139.6363684,0,○,桜みんなの公園南側
桜,17-5,35.644266,139.635751,0,○,和光小学校北側
桜,17-6,35.6454806,139.6417801,0,○,桜木中学校南側
桜,17-7,35.642743,139.636497,0,○,桜みんなの公園西側
桜,17-8,35.646059,139.641672,0,○,桜木中学校北側
豪徳寺,18-1,35.6495241,139.6474704,0,○,豪徳寺北側
豪徳寺,18-2,35.6481078,139.6458009,0,○,豪徳寺南側
梅丘,18-3,35.6487297,139.6499951,0,○,城山小学校西側
梅丘,18-4,35.648093,139.650419,0,○,城山小学校南側
豪徳寺,18-5,35.6485644,139.6487259,0,○,豪徳寺東側
豪徳寺,18-6,35.648121,139.649502,0,○,駐車場北側
豪徳寺,18-7,35.6458044,139.647742,0,○,世田谷城阯公園東側
代田,19-1,35.653154,139.662256,0,○,天理教本月分教会東側
代田,19-2,35.651909,139.660887,0,○,都営代田一丁目第２アパート６号棟東側
代田,19-3,35.6533589,139.6620263,0,○,天理教本月分教会北側
代田,19-4,35.654865,139.6608647,0,○,円乗院東側
代田,19-5,35.6519994,139.6624175,0,○,花見堂複合施設北側
代田,19-6,35.6517007,139.6621896,0,○,花見堂複合施設南側
代田,19-7,35.6526901,139.6607043,0,○,代田南広場東側
梅丘,20-1,35.6540063,139.6539095,0,○,個人宅西側
豪徳寺,20-2,35.653975,139.648424,0,○,個人宅南側
豪徳寺,20-3,35.653572,139.64783,0,○,豪徳寺一丁目オリーブ公園
梅丘,20-4,35.653316,139.652507,0,○,梅丘複合施設東側
梅丘,20-5,35.652684,139.653218,0,○,梅丘児童遊園東側
梅丘,20-6,35.650028,139.652253,0,○,円光院幼稚園南側
梅丘,20-7,35.650319,139.6521,0,○,円光院幼稚園南西側
梅丘,20-8,35.6504731,139.65234,0,○,円光院幼稚園東側
宮坂,21-1,35.6474813,139.6375203,0,○,烏山川緑道（経堂大橋公園東）
宮坂,21-2,35.651853,139.644859,0,○,乗泉寺世田谷別院北側
宮坂,21-3,35.652855,139.644202,0,○,小田急クローゼット経堂Ｃ棟脇
宮坂,21-4,35.650706,139.644875,0,○,乗泉寺世田谷別院南側
宮坂,21-5,35.6509899,139.6410152,0,○,個人宅西側
宮坂,21-6,35.6465689,139.6419407,0,○,鷗友学園女子中学校・高等学校駐車場東側
宮坂,21-7,35.648155,139.644435,0,○,世田谷八幡宮南側
宮坂,21-8,35.6471879,139.6395164,0,○,鷗友学園女子中学校・高等学校西側
経堂,22-1,35.648548,139.630067,0,○,南台公園西側
桜丘,22-2,35.641674,139.630298,0,○,東京農業大学西側
桜丘,22-3,35.644605,139.630098,0,○,桜丘小学校南側
経堂,22-4,35.648037,139.628066,0,○,駐車場西側
経堂,22-5,35.645793,139.631283,0,○,経堂五丁目特別保護区東側
桜丘,22-6,35.645152,139.631426,0,○,桜丘小学校北側
経堂,22-7,35.64898,139.631444,0,○,烏山川緑道（新道橋脇）
経堂,22-8,35.646594,139.631413,0,○,大旺新洋(株)世田谷寮東側
桜丘,23-1,35.642132,139.626973,0,○,個人宅北側
桜丘,23-2,35.643847,139.630292,0,○,桜丘中学校東側
桜丘,23-3,35.644956,139.628414,0,○,都営桜丘二丁目第５アパート２４号棟東側
桜丘,23-4,35.642267,139.629648,0,○,桜丘貯水槽用地南側
桜丘,23-5,35.644217,139.628338,0,○,都営桜丘二丁目第２アパート２号棟西側
桜丘,23-6,35.640139,139.629878,0,○,桜丘南公園東側
桜丘,23-7,35.645585,139.626895,0,○,桜丘二丁目児童遊園東側
桜丘,23-8,35.6430525,139.6282734,0,○,桜丘三丁目児童遊園北側
桜丘,24-1,35.648353,139.617829,0,○,水道局南部支所駐車場北側
桜丘,24-2,35.6460066,139.6217334,0,○,笹原小学校北側
桜丘,24-3,35.645365,139.618284,0,○,桜丘５－３６遊び場北側
桜丘,24-4,35.6450398,139.6211994,0,○,笹原小学校南側
桜丘,24-5,35.644768,139.623927,0,○,個人宅南側
桜丘,24-6,35.641837,139.619263,0,○,桜丘すみれば自然庭園西側
桜丘,24-7,35.643166,139.625126,0,○,桜丘幼稚園東側
桜丘,24-8,35.646951,139.618551,0,○,弁天公園南側
経堂,25-1,35.650442,139.63031,0,○,烏山川緑道（石仏公園脇）
経堂,25-2,35.648446,139.632717,0,○,烏山川緑道（中村橋脇）
経堂,25-3,35.651942,139.632065,0,○,経堂地区会館西側
経堂,25-4,35.649693,139.632014,0,○,経堂一丁目整圧器室東側
経堂,25-5,35.6482998,139.6338951,0,○,烏山川緑道（中村橋脇）
経堂,25-6,35.650138,139.628172,0,○,経堂四丁目児童遊園北側
経堂,25-7,35.651325,139.627359,0,○,烏山川緑道（二本橋西）
経堂,25-8,35.650971,139.629177,0,○,烏山川緑道（二本橋東）
宮坂,26-1,35.656746,139.634617,0,○,東京電力(株)上北沢変電所北側
宮坂,26-2,35.654769,139.636956,0,○,山下西公園西側
宮坂,26-3,35.653888,139.637452,0,○,子ども・子育て総合センター東側
宮坂,26-4,35.6520872,139.6381336,0,○,道路代替地東側
宮坂,26-5,35.6534106,139.6402622,0,○,北沢川緑道
宮坂,26-6,35.653432,139.636028,0,○,経堂児童遊園西側
宮坂,26-7,35.6542863,139.6356944,0,○,個人宅東側
宮坂,26-8,35.653606,139.637964,0,○,北沢川緑道（宮坂三丁目交差点脇）
代沢,27-1,35.6537812,139.6710156,0,○,代沢せせらぎ公園西側
代沢,27-2,35.657501,139.668188,0,○,代沢地区会館東側
代沢,27-3,35.655725,139.669672,0,○,北沢八幡児童遊園南側
代沢,27-4,35.654693,139.668286,0,○,代沢小学校東側
代沢,27-5,35.6538802,139.6717978,0,○,東急バス(株)バス整備工場南側
